epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,15585,0.59983,0.44062,0.85947,0.82142,0.92572,0.94929,0.80124,0.65204,0.49265,0.89017,0.000759318,0.000759318,0.000759318
57,15765.4,0.62162,0.42048,0.86341,0.89862,0.882,0.9676,0.81833,0.69039,0.42959,0.89421,0.000742815,0.000742815,0.000742815
58,15922.3,0.60766,0.43394,0.85025,0.88869,0.90934,0.96489,0.8022,0.69111,0.41411,0.90331,0.000726312,0.000726312,0.000726312
59,16079.1,0.56958,0.40373,0.84578,0.88006,0.9168,0.96323,0.81131,0.6878,0.42072,0.88769,0.000709809,0.000709809,0.000709809
60,16235.5,0.58715,0.3936,0.8565,0.91021,0.90333,0.97125,0.82666,0.67918,0.42754,0.89036,0.000693305,0.000693305,0.000693305
61,16388.1,0.57901,0.40149,0.84879,0.90125,0.95173,0.97762,0.84355,0.71867,0.41234,0.89453,0.000676802,0.000676802,0.000676802
62,16543.9,0.5775,0.41442,0.85229,0.92274,0.91551,0.97273,0.82641,0.72633,0.41068,0.89217,0.000660299,0.000660299,0.000660299
63,16697.1,0.56197,0.39991,0.84381,0.94077,0.89025,0.97505,0.83597,0.70495,0.39459,0.89147,0.000643795,0.000643795,0.000643795
64,16849.1,0.55737,0.38121,0.84616,0.8283,1,0.97475,0.84465,0.67782,0.42962,0.88651,0.000627292,0.000627292,0.000627292
65,17001.4,0.56929,0.40566,0.85019,0.88921,0.9185,0.96537,0.82296,0.69935,0.55646,0.90208,0.000610789,0.000610789,0.000610789
66,17156.5,0.56077,0.38927,0.84831,0.92363,0.92251,0.97714,0.82981,0.66342,0.49965,0.89248,0.000594286,0.000594286,0.000594286
67,17309.9,0.56219,0.38524,0.84955,0.96281,0.85787,0.97981,0.8424,0.7104,0.37997,0.89584,0.000577782,0.000577782,0.000577782
68,17463.5,0.57039,0.39861,0.85429,0.93349,0.92622,0.97908,0.82652,0.72322,0.38476,0.90479,0.000561279,0.000561279,0.000561279
69,17616.6,0.55925,0.39598,0.8529,0.8892,0.90647,0.97305,0.81896,0.68046,0.41517,0.89052,0.000544776,0.000544776,0.000544776
70,17771.4,0.545,0.37454,0.84229,0.93762,0.84249,0.96033,0.81629,0.69702,0.45836,0.89153,0.000528272,0.000528272,0.000528272
71,17925.8,0.55586,0.40101,0.84369,0.86113,0.89436,0.95958,0.81427,0.7167,0.68173,0.89607,0.000511769,0.000511769,0.000511769
72,18076.8,0.53636,0.38159,0.84004,0.89204,0.90861,0.96676,0.82913,0.68073,0.61168,0.88767,0.000495266,0.000495266,0.000495266
73,18229.5,0.53057,0.36962,0.8392,0.84248,0.94906,0.95983,0.81229,0.65872,0.57411,0.89266,0.000478762,0.000478762,0.000478762
74,18383.6,0.54509,0.38027,0.85181,0.88322,0.9009,0.92158,0.77861,0.69007,0.63869,0.89912,0.000462259,0.000462259,0.000462259
75,18538.6,0.53889,0.37838,0.83579,0.88737,0.93773,0.97689,0.83669,0.65054,0.42561,0.88402,0.000445756,0.000445756,0.000445756
76,18691.4,0.54104,0.37273,0.84734,0.90507,0.93773,0.97524,0.83736,0.66421,0.38,0.88504,0.000429253,0.000429253,0.000429253
77,18846.1,0.52036,0.37704,0.83597,0.93338,0.92354,0.98405,0.84326,0.69107,0.3816,0.88991,0.000412749,0.000412749,0.000412749
78,18998.2,0.5347,0.37141,0.84711,0.92454,0.93556,0.9802,0.85452,0.70459,0.37226,0.89349,0.000396246,0.000396246,0.000396246
79,19153.1,0.52179,0.37315,0.83939,0.89108,0.94944,0.9799,0.84804,0.68474,0.36905,0.88951,0.000379743,0.000379743,0.000379743
80,19307.2,0.50971,0.35458,0.83446,0.90315,0.93773,0.9762,0.8427,0.67139,0.36429,0.88818,0.000363239,0.000363239,0.000363239
81,19462.6,0.52493,0.35876,0.84188,0.93824,0.86025,0.97195,0.83557,0.66914,0.37259,0.88619,0.000346736,0.000346736,0.000346736
82,19616.8,0.52268,0.36084,0.84101,0.94865,0.86796,0.9746,0.83436,0.69741,0.37084,0.88915,0.000330233,0.000330233,0.000330233
83,19776.2,0.51179,0.35519,0.83778,0.93329,0.92648,0.96719,0.82904,0.70913,0.38033,0.88852,0.000313729,0.000313729,0.000313729
84,19929.1,0.52294,0.34761,0.83973,0.92401,0.88553,0.96776,0.81969,0.71391,0.39102,0.89124,0.000297226,0.000297226,0.000297226
85,20086.5,0.51282,0.35256,0.84031,0.95788,0.86855,0.96339,0.82331,0.69746,0.38881,0.89042,0.000280723,0.000280723,0.000280723
86,20245.6,0.50637,0.34102,0.82947,0.96179,0.83242,0.96753,0.81611,0.68298,0.43611,0.89362,0.00026422,0.00026422,0.00026422
87,20407.6,0.49998,0.33159,0.83359,0.94399,0.83242,0.96386,0.81781,0.69179,0.41084,0.89436,0.000247716,0.000247716,0.000247716
88,20562.9,0.48123,0.3318,0.83161,0.86888,0.90423,0.96224,0.8158,0.6827,0.41298,0.89137,0.000231213,0.000231213,0.000231213
89,20721.6,0.50461,0.32342,0.84328,0.89023,0.90934,0.96613,0.82153,0.67758,0.38759,0.88929,0.00021471,0.00021471,0.00021471
90,20874.5,0.48258,0.3263,0.83223,0.91,0.90934,0.96195,0.83316,0.66827,0.39366,0.88782,0.000198206,0.000198206,0.000198206
91,21030.6,0.4786,0.29842,0.81956,0.92633,0.90442,0.95656,0.82214,0.67048,0.39329,0.88632,0.000181703,0.000181703,0.000181703
92,21184.2,0.47764,0.28572,0.8142,0.92329,0.92255,0.95673,0.8194,0.65966,0.38123,0.88345,0.0001652,0.0001652,0.0001652
93,21338.3,0.46739,0.29459,0.82371,0.92126,0.88898,0.95883,0.82371,0.65492,0.37544,0.88266,0.000148696,0.000148696,0.000148696
94,21493.4,0.4566,0.28224,0.82647,0.87695,0.94886,0.95968,0.83001,0.6758,0.37333,0.88669,0.000132193,0.000132193,0.000132193
95,21646,0.45268,0.26409,0.81707,0.9371,0.89818,0.95883,0.8284,0.67693,0.37578,0.88738,0.00011569,0.00011569,0.00011569
96,21800.7,0.44841,0.27737,0.8227,0.93784,0.89859,0.95956,0.82369,0.67622,0.37853,0.88634,9.91865e-05,9.91865e-05,9.91865e-05
97,21954.9,0.45546,0.27716,0.81353,0.93262,0.89386,0.95586,0.82317,0.66606,0.37693,0.88465,8.26832e-05,8.26832e-05,8.26832e-05
98,22111.4,0.45055,0.27034,0.82007,0.92544,0.8924,0.95135,0.81642,0.65314,0.37149,0.88473,6.61799e-05,6.61799e-05,6.61799e-05
99,22265.5,0.45321,0.27128,0.82057,0.90915,0.90508,0.95003,0.81533,0.64979,0.37494,0.88603,4.96766e-05,4.96766e-05,4.96766e-05
100,22421.7,0.43599,0.26752,0.8184,0.90838,0.90944,0.94923,0.8148,0.64856,0.37611,0.88551,3.31733e-05,3.31733e-05,3.31733e-05
